Huffman Encoding Report (Word-Level)
Total Tokens: 33178
Unique Symbols: 2800
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
--------------------------------------------------------------------------------
' '                  | 14334      | 0                    | 14334
'\n'                 | 1498       | 11101                | 7490
the                  | 963        | 10011                | 4815
,                    | 918        | 10001                | 4590
.                    | 747        | 111100               | 4482
of                   | 563        | 110000               | 3378
a                    | 359        | 1110010              | 2513
in                   | 354        | 1110000              | 2478
and                  | 333        | 1101101              | 2331
to                   | 330        | 1101011              | 2310
is                   | 273        | 1011111              | 1911
or                   | 211        | 11111111             | 1688
be                   | 179        | 11100011             | 1432
that                 | 168        | 11011101             | 1344
are                  | 156        | 11010000             | 1248
-                    | 149        | 11001101             | 1192
it                   | 148        | 11001011             | 1184
“                    | 146        | 11001010             | 1168
”                    | 146        | 11001001             | 1168
as                   | 135        | 10111100             | 1080
with                 | 122        | 10010101             | 976
for                  | 109        | 10000100             | 872
story                | 108        | 10000010             | 864
this                 | 107        | 10000001             | 856
news                 | 100        | 111111000            | 900
will                 | 99         | 111110111            | 891
not                  | 98         | 111110110            | 882
Project              | 84         | 110111000            | 756
Gutenberg            | 84         | 110111001            | 756
you                  | 84         | 110111100            | 756
which                | 82         | 110110001            | 738
on                   | 81         | 110110000            | 729
all                  | 79         | 110100010            | 711
The                  | 70         | 110001011            | 630
at                   | 70         | 110001010            | 630
can                  | 60         | 100101100            | 540
his                  | 59         | 100100110            | 531
1                    | 58         | 100100100            | 522
from                 | 57         | 100100011            | 513
any                  | 57         | 100100001            | 513
™                    | 57         | 100100000            | 513
by                   | 54         | 100000110            | 486
we                   | 54         | 100000001            | 486
If                   | 52         | 1111110101           | 520
he                   | 52         | 1111110111           | 520
work                 | 51         | 1111110100           | 510
if                   | 49         | 1111101010           | 490
other                | 48         | 1111100011           | 480
may                  | 48         | 1111011101           | 480
have                 | 47         | 1110011100           | 470
must                 | 47         | 1110011101           | 470
they                 | 45         | 1110011000           | 450
so                   | 45         | 1110011001           | 450
an                   | 44         | 1101111111           | 440
one                  | 43         | 1101111100           | 430
out                  | 42         | 1101100111           | 420
up                   | 41         | 1101010111           | 410
In                   | 40         | 1101001111           | 400
most                 | 39         | 1100111101           | 390
do                   | 39         | 1100111111           | 390
has                  | 38         | 1100111000           | 380
paper                | 37         | 1100110010           | 370
would                | 37         | 1100110001           | 370
reporter             | 37         | 1100110000           | 370
given                | 37         | 1100100011           | 370
more                 | 35         | 1100010010           | 350
interest             | 35         | 1100011000           | 350
first                | 35         | 1100010011           | 350
very                 | 34         | 1011110101           | 340
writing              | 34         | 1100010000           | 340
what                 | 34         | 1011110110           | 340
’                    | 34         | 1011101110           | 340
there                | 34         | 1011110100           | 340
than                 | 32         | 1011100010           | 320
I                    | 32         | 1011001110           | 320
works                | 32         | 1010111111           | 320
some                 | 31         | 1001011110           | 310
such                 | 31         | 1001011101           | 310
interested           | 31         | 1001011010           | 310
generally            | 31         | 1001011011           | 310
s                    | 30         | 1001010011           | 300
about                | 30         | 1001010000           | 300
same                 | 30         | 1001010001           | 300
newspaper            | 29         | 1001001011           | 290
fact                 | 29         | 1001001010           | 290
no                   | 28         | 1000011110           | 280
who                  | 27         | 1000001110           | 270
electronic           | 27         | 1000000001           | 270
E                    | 26         | 11111101101          | 286
people               | 26         | 11111110000          | 286
man                  | 25         | 11111100110          | 275
time                 | 25         | 11111100111          | 275
stories              | 25         | 11111100101          | 275
matter               | 25         | 11111100100          | 275
terms                | 24         | 11100110111          | 264
was                  | 24         | 11110110100          | 264
them                 | 24         | 11111001001          | 264
