Huffman Encoding Report (Word-Level)
Total Tokens: 2291808
Unique Symbols: 31615
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
--------------------------------------------------------------------------------
' '                  | 832295     | 11                   | 1664590
'\n'                 | 196394     | 001                  | 589182
,                    | 94721      | 0000                 | 378884
.                    | 91384      | 10111                | 456920
’                    | 26344      | 010101               | 158064
the                  | 25743      | 010010               | 154458
I                    | 23849      | 000110               | 143094
and                  | 20184      | 1010011              | 141288
to                   | 17424      | 1001000              | 121968
of                   | 17301      | 1000110              | 121107
a                    | 13974      | 0110010              | 97818
;                    | 12920      | 0101000              | 90440
you                  | 12901      | 0100111              | 90307
my                   | 11411      | 10110101             | 91288
?                    | 11396      | 10110100             | 91168
in                   | 11384      | 10110011             | 91072
that                 | 9013       | 10010111             | 72104
is                   | 8958       | 10010110             | 71664
not                  | 8585       | 10001011             | 68680
s                    | 8580       | 10001010             | 68640
And                  | 8362       | 10000101             | 66896
me                   | 8252       | 10000011             | 66016
!                    | 7806       | 01110111             | 62448
with                 | 7493       | 01110000             | 59944
it                   | 7210       | 01101100             | 57680
his                  | 6955       | 01100010             | 55640
be                   | 6879       | 01100000             | 55032
your                 | 6370       | 01000110             | 50960
for                  | 6272       | 01000011             | 50176
this                 | 5900       | 00010100             | 47200
have                 | 5823       | 101101111            | 52407
he                   | 5591       | 101100010            | 50319
him                  | 5539       | 101100000            | 49851
d                    | 5174       | 101010111            | 46566
thou                 | 4863       | 101000011            | 43767
will                 | 4830       | 101000000            | 43470
The                  | 4674       | 100111011            | 42066
as                   | 4636       | 100111000            | 41724
her                  | 4376       | 100100110            | 39384
so                   | 4350       | 100011111            | 39150
[                    | 4256       | 100010001            | 38304
]                    | 4254       | 100010000            | 38286
thy                  | 3909       | 011110001            | 35181
-                    | 3907       | 011110000            | 35163
_                    | 3868       | 011101011            | 34812
but                  | 3828       | 011100111            | 34452
all                  | 3802       | 011100101            | 34218
do                   | 3534       | 011001110            | 31806
:                    | 3427       | 010111110            | 30843
To                   | 3415       | 010111101            | 30735
thee                 | 3403       | 010111011            | 30627
are                  | 3387       | 010111001            | 30483
shall                | 3369       | 010111000            | 30321
That                 | 3265       | 010110000            | 29385
on                   | 3251       | 010100101            | 29259
by                   | 3232       | 010011011            | 29088
But                  | 2951       | 000100111            | 26559
no                   | 2927       | 000100011            | 26343
we                   | 2924       | 000100010            | 26316
our                  | 2881       | 1011011100           | 28810
What                 | 2718       | 1010111011           | 27180
ll                   | 2623       | 1010110010           | 26230
from                 | 2525       | 1010100000           | 25250
A                    | 2520       | 1010010110           | 25200
—                    | 2505       | 1010010100           | 25050
at                   | 2490       | 1010010000           | 24900
O                    | 2479       | 1010001110           | 24790
good                 | 2423       | 1010000100           | 24230
what                 | 2416       | 1010000010           | 24160
love                 | 2322       | 1001110011           | 23220
she                  | 2314       | 1001101101           | 23140
Enter                | 2297       | 1001100111           | 22970
more                 | 2276       | 1001100011           | 22760
was                  | 2227       | 1001010100           | 22270
am                   | 2225       | 1001010011           | 22250
their                | 2206       | 1001010000           | 22060
would                | 2191       | 1001001110           | 21910
they                 | 2165       | 1000111100           | 21650
now                  | 2164       | 1000111011           | 21640
lord                 | 2133       | 1000100101           | 21330
them                 | 2132       | 1000100100           | 21320
man                  | 2064       | 1000001010           | 20640
For                  | 2027       | 0111110001           | 20270
if                   | 1985       | 0111101011           | 19850
or                   | 1939       | 0111011001           | 19390
sir                  | 1895       | 0111001000           | 18950
If                   | 1841       | 0110111010           | 18410
You                  | 1817       | 0110110101           | 18170
like                 | 1800       | 0110101111           | 18000
here                 | 1790       | 0110100100           | 17900
My                   | 1790       | 0110100101           | 17900
well                 | 1777       | 0110100001           | 17770
us                   | 1777       | 0110100000           | 17770
one                  | 1769       | 0110011110           | 17690
know                 | 1765       | 0110011010           | 17650
hath                 | 1764       | 0110011001           | 17640
He                   | 1745       | 0110001101           | 17450
then                 | 1679       | 0101101101           | 16790
come                 | 1641       | 0101100010           | 16410
there                | 1624       | 0101001001           | 16240
make                 | 1610       | 0100110011           | 16100
an                   | 1607       | 0100110010           | 16070
say                  | 1605       | 0100110001           | 16050
may                  | 1583       | 0100010100           | 15830
As                   | 1581       | 0100010011           | 15810
which                | 1576       | 0100010010           | 15760
than                 | 1574       | 0100010000           | 15740
upon                 | 1547       | 0100000101           | 15470
should               | 1540       | 0100000011           | 15400
did                  | 1528       | 0001110011           | 15280
were                 | 1507       | 0001011111           | 15070
must                 | 1494       | 0001011010           | 14940
let                  | 1488       | 0001010111           | 14880
see                  | 1432       | 10110110100          | 15752
such                 | 1384       | 10110000101          | 15224
had                  | 1383       | 10110000100          | 15213
KING                 | 1371       | 10101111011          | 15081
out                  | 1357       | 10101110101          | 14927
when                 | 1311       | 10101100010          | 14421
too                  | 1289       | 10101011001          | 14179
yet                  | 1283       | 10101010111          | 14113
King                 | 1273       | 10101000111          | 14003
How                  | 1271       | 10101000101          | 13981
This                 | 1268       | 10101000100          | 13948
Why                  | 1266       | 10101000011          | 13926
t                    | 1258       | 10100101011          | 13838
go                   | 1248       | 10100100011          | 13728
“                    | 1243       | 10100011110          | 13673
In                   | 1200       | 10011111100          | 13200
some                 | 1187       | 10011111000          | 13057
these                | 1179       | 10011110010          | 12969
mine                 | 1161       | 10011100101          | 12771
st                   | 1159       | 10011100100          | 12749
up                   | 1158       | 10011011101          | 12738
No                   | 1158       | 10011011111          | 12738
can                  | 1158       | 10011011110          | 12738
heart                | 1139       | 10011001001          | 12529
So                   | 1127       | 10011000001          | 12397
time                 | 1119       | 10010101011          | 12309
give                 | 1093       | 10010010111          | 12023
father               | 1086       | 10001111011          | 11946
With                 | 1072       | 10001110000          | 11792
”                    | 1070       | 10001001110          | 11770
Thou                 | 1069       | 10001001101          | 11759
take                 | 1065       | 10000111111          | 11715
how                  | 1061       | 10000111101          | 11671
think                | 1056       | 10000111011          | 11616
much                 | 1055       | 10000110110          | 11605
Of                   | 1052       | 10000110100          | 11572
It                   | 1047       | 10000110000          | 11517
speak                | 1043       | 10000100101          | 11473
most                 | 1040       | 10000100011          | 11440
Let                  | 1033       | 10000010110          | 11363
never                | 1022       | 01111101001          | 11242
Come                 | 1012       | 01111100001          | 11132
Which                | 1000       | 01111011011          | 11000
_Exeunt              | 1000       | 01111011010          | 11000
We                   | 994        | 01111011000          | 10934
men                  | 988        | 01111001110          | 10868
th                   | 985        | 01111001100          | 10835
Is                   | 985        | 01111001011          | 10835
_Exit                | 962        | 01110101011          | 10582
tell                 | 953        | 01110011010          | 10483
life                 | 953        | 01110011001          | 10483
doth                 | 951        | 01110010011          | 10461
hand                 | 928        | 01101111101          | 10208
death                | 925        | 01101110111          | 10175
By                   | 916        | 01101110001          | 10076
art                  | 915        | 01101110000          | 10065
When                 | 915        | 01101101110          | 10065
great                | 891        | 01101000100          | 9801
Now                  | 872        | 01100011000          | 9592
day                  | 858        | 01011111110          | 9438
God                  | 852        | 01011110010          | 9372
hear                 | 850        | 01011110001          | 9350
SCENE                | 847        | 01011101001          | 9317
made                 | 841        | 01011011110          | 9251
own                  | 832        | 01011010001          | 9152
again                | 832        | 01011010010          | 9152
fair                 | 828        | 01011001011          | 9108
Sir                  | 822        | 01011000111          | 9042
true                 | 815        | 01010011001          | 8965
Who                  | 814        | 01010011000          | 8954
o                    | 808        | 01001101011          | 8888
eyes                 | 802        | 01001100000          | 8822
very                 | 796        | 01000101110          | 8756
tis                  | 795        | 01000101100          | 8745
cannot               | 782        | 01000010100          | 8602
FIRST                | 778        | 01000010001          | 8558
Or                   | 776        | 01000001110          | 8536
where                | 774        | 01000001101          | 8514
night                | 772        | 01000001001          | 8492
other                | 761        | 00011100011          | 8371
Then                 | 761        | 00011100100          | 8371
any                  | 752        | 00010111011          | 8272
There                | 744        | 00010101101          | 8184
Scene                | 742        | 00010101011          | 8162
world                | 739        | 00010101001          | 8129
Lord                 | 735        | 00010010010          | 8085
been                 | 735        | 00010010011          | 8085
away                 | 732        | 00010010000          | 8052
honour               | 732        | 00010000111          | 8052
sweet                | 729        | 00010000100          | 8019
Where                | 721        | 101101110111         | 8652
Tis                  | 721        | 101101110110         | 8652
done                 | 718        | 101101101100         | 8616
Ay                   | 716        | 101101101010         | 8592
blood                | 711        | 101101100100         | 8532
er                   | 709        | 101101100000         | 8508
two                  | 703        | 101100100001         | 8436
son                  | 702        | 101100011111         | 8424
Your                 | 702        | 101100100000         | 8424
name                 | 698        | 101100011000         | 8376
before               | 693        | 101100001101         | 8316
Here                 | 691        | 101011111110         | 8292
Duke                 | 675        | 101011100111         | 8100
nor                  | 674        | 101011100110         | 8088
fear                 | 672        | 101011011100         | 8064
old                  | 668        | 101011011010         | 8016
down                 | 668        | 101011011001         | 8016
leave                | 661        | 101011010010         | 7932
look                 | 656        | 101011001100         | 7872
ever                 | 650        | 101011000010         | 7800
His                  | 648        | 101011000000         | 7776
thus                 | 646        | 101010110100         | 7752
noble                | 644        | 101010110001         | 7728
She                  | 643        | 101010101101         | 7716
who                  | 640        | 101010101010         | 7680
heaven               | 632        | 101010000100         | 7584
comes                | 626        | 101001001110         | 7512
way                  | 623        | 101001000100         | 7476
being                | 618        | 101000110100         | 7416
poor                 | 615        | 101000110000         | 7380
Well                 | 615        | 101000101110         | 7380
could                | 612        | 101000101001         | 7344
house                | 608        | 101000010111         | 7296
part                 | 606        | 101000001111         | 7272
brother              | 604        | 101000001101         | 7248
lady                 | 603        | 100111111101         | 7236
better               | 601        | 100111111011         | 7212
both                 | 592        | 100111101000         | 7104
call                 | 591        | 100111100111         | 7092
still                | 585        | 100111010101         | 7020
into                 | 585        | 100111010111         | 7020
nothing              | 576        | 100110100101         | 6912
dead                 | 576        | 100110100100         | 6912
many                 | 574        | 100110011010         | 6888
They                 | 572        | 100110010110         | 6864
Good                 | 572        | 100110011000         | 6864
Do                   | 569        | 100110010000         | 6828
pray                 | 569        | 100110010001         | 6828
head                 | 568        | 100110001010         | 6816
Go                   | 563        | 100110000001         | 6756
king                 | 560        | 100101010101         | 6720
hast                 | 555        | 100101001001         | 6660
find                 | 543        | 100100100000         | 6516
bear                 | 542        | 100011110100         | 6504
myself               | 540        | 100011101010         | 6480
master               | 539        | 100011100111         | 6468
Be                   | 536        | 100010011111         | 6432
Nay                  | 535        | 100010011001         | 6420
off                  | 533        | 100010011000         | 6396
live                 | 531        | 100001111100         | 6372
OF                   | 529        | 100001111000         | 6348
wife                 | 528        | 100001110100         | 6336
word                 | 524        | 100001100010         | 6288
RICHARD              | 522        | 100001001100         | 6264
little               | 521        | 100001001001         | 6252
those                | 517        | 100000101110         | 6204
place                | 517        | 100000101111         | 6204
eye                  | 515        | 100000100100         | 6180
SECOND               | 510        | 011111010000         | 6120
might                | 510        | 011111001110         | 6120
Not                  | 509        | 011111001101         | 6108
Will                 | 507        | 011111001001         | 6084
first                | 506        | 011111000001         | 6072
die                  | 502        | 011110111010         | 6024
Shall                | 497        | 011110101011         | 5964
stand                | 497        | 011110110010         | 5964
soul                 | 494        | 011110011110         | 5928
friend               | 493        | 011110011010         | 5916
