Huffman Encoding Report (Character-Level)
Total Tokens: 420816
Unique Symbols: 57
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
--------------------------------------------------------------------------------
' '                  | 68928      | 111                  | 206784
e                    | 42192      | 001                  | 126576
t                    | 27264      | 1010                 | 109056
o                    | 26064      | 1000                 | 104256
i                    | 23808      | 0111                 | 95232
a                    | 23424      | 0110                 | 93696
r                    | 23376      | 0101                 | 93504
n                    | 21360      | 0100                 | 85440
s                    | 19440      | 0000                 | 77760
h                    | 17184      | 11010                | 85920
l                    | 15264      | 10111                | 76320
c                    | 15024      | 10110                | 75120
d                    | 14064      | 10011                | 70320
m                    | 9312       | 110111               | 55872
u                    | 8688       | 110110               | 52128
f                    | 8400       | 110011               | 50400
p                    | 7968       | 110001               | 47808
g                    | 7536       | 110000               | 45216
y                    | 5712       | 100100               | 34272
w                    | 5664       | 000111               | 33984
,                    | 4272       | 1100101              | 29904
v                    | 2832       | 0001101              | 19824
b                    | 2784       | 0001100              | 19488
.                    | 2016       | 11001001             | 16128
I                    | 1680       | 10010101             | 13440
U                    | 1392       | 00010111             | 11136
x                    | 1152       | 00010010             | 9216
k                    | 1152       | 00010011             | 9216
-                    | 1056       | 110010001            | 9504
L                    | 912        | 100101101            | 8208
'\n'                 | 768        | 100101100            | 6912
(                    | 720        | 000101101            | 6480
)                    | 720        | 100101000            | 6480
F                    | 624        | 000101011            | 5616
T                    | 576        | 000101000            | 5184
D                    | 576        | 000101010            | 5184
N                    | 528        | 000100000            | 4752
R                    | 528        | 000100001            | 4752
E                    | 528        | 000100010            | 4752
z                    | 480        | 1001011110           | 4800
2                    | 480        | 1100100001           | 4800
O                    | 480        | 1100100000           | 4800
’                    | 432        | 1001011100           | 4320
B                    | 384        | 1001010011           | 3840
H                    | 384        | 1001010010           | 3840
A                    | 336        | 0001011001           | 3360
P                    | 288        | 0001011000           | 2880
j                    | 288        | 0001000111           | 2880
W                    | 240        | 0001000110           | 2400
C                    | 240        | 10010111011          | 2640
q                    | 240        | 10010111010          | 2640
/                    | 240        | 10010111111          | 2640
4                    | 240        | 10010111110          | 2640
G                    | 144        | 00010100111          | 1584
S                    | 144        | 00010100110          | 1584
3                    | 144        | 00010100101          | 1584
9                    | 144        | 00010100100          | 1584

================================================================================
Original size (symbol-based bits): 3366528
Compressed size (symbol-based bits): 1870656
Estimated compression ratio: 44.43%
