Huffman Encoding Report (Word-Level)
Original Text Length: 69456 tokens
Symbol Table:
Symbol | Frequency | Huffman Code | Bits Used
============================================================
not        | 192        | 00000000   | 1536
mattered   | 96         | 000000010  | 864
timing     | 96         | 000000011  | 864
whether    | 192        | 00000010   | 1536
alter      | 96         | 000000110  | 864
drugs      | 96         | 000000111  | 864
there      | 192        | 00000100   | 1536
National   | 96         | 000001010  | 864
Fermi      | 96         | 000001011  | 864
limitless  | 96         | 000001100  | 864
are        | 96         | 000001101  | 864
heart.     | 96         | 000001110  | 864
captured   | 96         | 000001111  | 864
Laboratory, | 96         | 000010000  | 864
Accelerator | 96         | 000010001  | 864
obligations | 96         | 000010010  | 864
papers     | 96         | 000010011  | 864
year,      | 192        | 00001010   | 1536
couldn’t   | 96         | 000010110  | 864
college,   | 96         | 000010111  | 864
site       | 96         | 000011000  | 864
binding    | 96         | 000011001  | 864
definitive | 96         | 000011010  | 864
yield      | 96         | 000011011  | 864
determining | 96         | 000011100  | 864
into       | 96         | 000011101  | 864
their      | 96         | 000011110  | 864
expand     | 96         | 000011111  | 864
discoveries | 96         | 000100000  | 864
where      | 96         | 000100001  | 864
science,   | 96         | 000100010  | 864
future     | 96         | 000100011  | 864
nanotechnology. | 96         | 000100100  | 864
interest   | 96         | 000100101  | 864
tailored   | 96         | 000100110  | 864
Along      | 96         | 000100111  | 864
realized   | 96         | 000101000  | 864
experience, | 96         | 000101001  | 864
would      | 192        | 00010101   | 1536
affecting  | 96         | 000101100  | 864
factors    | 96         | 000101101  | 864
lab        | 96         | 000101110  | 864
spurred    | 96         | 000101111  | 864
offered    | 96         | 000110000  | 864
trips      | 96         | 000110001  | 864
has        | 192        | 00011001   | 1536
research.  | 96         | 000110100  | 864
ambition   | 96         | 000110101  | 864
housing    | 96         | 000110110  | 864
projects   | 96         | 000110111  | 864
as         | 384        | 0001110    | 2688
speaking,  | 96         | 000111100  | 864
public     | 96         | 000111101  | 864
year-long  | 96         | 000111110  | 864
want       | 96         | 000111111  | 864
preparing  | 96         | 001000000  | 864
senior     | 96         | 001000001  | 864
up         | 96         | 001000010  | 864
give       | 96         | 001000011  | 864
career     | 96         | 001000100  | 864
exciting   | 96         | 001000101  | 864
summer,    | 240        | 00100011   | 1920
with       | 816        | 001001     | 4896
I          | 1680       | 00101      | 8400
my         | 864        | 001100     | 5184
were       | 432        | 0011010    | 3024
Using      | 432        | 0011011    | 3024
school     | 864        | 001110     | 5184
drug       | 240        | 00111100   | 1920
position   | 240        | 00111101   | 1920
summer     | 480        | 0011111    | 3360
many       | 240        | 01000000   | 1920
effects    | 240        | 01000001   | 1920
opportunity, | 240        | 01000010   | 1920
delivery   | 240        | 01000011   | 1920
individually | 240        | 01000100   | 1920
each       | 240        | 01000101   | 1920
This       | 240        | 01000110   | 1920
curcumin   | 240        | 01000111   | 1920
but        | 240        | 01001000   | 1920
program    | 240        | 01001001   | 1920
world      | 240        | 01001010   | 1920
REU        | 240        | 01001011   | 1920
in         | 1008       | 010011     | 6048
a          | 1968       | 01010      | 9840
