Huffman Encoding Report (Word-Level)
Total Tokens: 151296
Unique Symbols: 286
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
--------------------------------------------------------------------------------
' '                  | 68928      | 0                    | 68928
the                  | 4656       | 11000                | 23280
,                    | 4272       | 10010                | 21360
to                   | 2976       | 110111               | 17856
of                   | 2112       | 100110               | 12672
.                    | 2016       | 100001               | 12096
a                    | 1968       | 100000               | 11808
I                    | 1680       | 1111001              | 11760
and                  | 1392       | 1101010              | 9744
was                  | 1248       | 1101000              | 8736
in                   | 1152       | 1010010              | 8064
research             | 1152       | 1010111              | 8064
-                    | 1056       | 1000110              | 7392
cells                | 1056       | 1000111              | 7392
for                  | 1008       | 11111111             | 8064
school               | 1008       | 1000100              | 7056
my                   | 864        | 11110110             | 6912
with                 | 816        | 11110001             | 6528
on                   | 816        | 11110100             | 6528
'\n'                 | 768        | 11100000             | 6144
summer               | 720        | 11010111             | 5760
had                  | 720        | 11011000             | 5760
(                    | 720        | 11011010             | 5760
)                    | 720        | 11010110             | 5760
that                 | 720        | 11011001             | 5760
high                 | 672        | 11010011             | 5376
me                   | 672        | 11010010             | 5376
curcumin             | 624        | 11001111             | 4992
from                 | 576        | 10101101             | 4608
this                 | 576        | 10110101             | 4608
other                | 576        | 10110001             | 4608
able                 | 528        | 10001011             | 4224
2                    | 480        | 111110111            | 4320
or                   | 480        | 111111010            | 4320
’                    | 432        | 111101010            | 3888
nanoparticles        | 432        | 111101011            | 3888
student              | 432        | 111110000            | 3888
trying               | 432        | 111110011            | 3888
Using                | 432        | 111110100            | 3888
cell                 | 432        | 111110010            | 3888
were                 | 432        | 111101110            | 3888
students             | 432        | 111110001            | 3888
REU                  | 384        | 111001100            | 3456
program              | 384        | 111000011            | 3456
effects              | 384        | 111010000            | 3456
as                   | 384        | 111010101            | 3456
delivery             | 384        | 111001001            | 3456
opportunity          | 384        | 111000101            | 3456
HeLa                 | 384        | 111011101            | 3456
cervical             | 384        | 111000010            | 3456
cancer               | 384        | 110110110            | 3456
experience           | 384        | 111001000            | 3456
Notre                | 288        | 101100001            | 2592
Dame                 | 288        | 101100110            | 2592
Professor            | 288        | 101110001            | 2592
known                | 288        | 100111101            | 2592
find                 | 288        | 110011010            | 2592
it                   | 288        | 110010101            | 2592
after                | 288        | 101000110            | 2592
help                 | 288        | 101111100            | 2592
apoptosis            | 288        | 110010010            | 2592
death                | 288        | 101101001            | 2592
necrosis             | 288        | 110010000            | 2592
them                 | 288        | 101110101            | 2592
determine            | 288        | 101111111            | 2592
died                 | 288        | 101110111            | 2592
played               | 288        | 101010010            | 2592
t                    | 288        | 110010011            | 2592
year                 | 288        | 110010110            | 2592
This                 | 240        | 100010100            | 2160
CoFe                 | 240        | 1111101101           | 2400
O                    | 240        | 1111110111           | 2400
TiO                  | 240        | 1111110010           | 2400
drug                 | 240        | 1111111000           | 2400
but                  | 240        | 1111110110           | 2400
many                 | 240        | 1111111010           | 2400
position             | 240        | 1111101010           | 2400
each                 | 240        | 1111111001           | 2400
individually         | 240        | 1111110011           | 2400
/                    | 240        | 1111101011           | 2400
4                    | 240        | 1111101100           | 2400
science              | 240        | 1111111011           | 2400
world                | 240        | 1111110001           | 2400
college              | 240        | 1111110000           | 2400
there                | 192        | 1110101000           | 1920
seminars             | 192        | 1110001111           | 1920
one                  | 192        | 1110101110           | 1920
end                  | 192        | 1110101100           | 1920
results              | 192        | 1110110011           | 1920
whether              | 192        | 1111000000           | 1920
not                  | 192        | 1110010101           | 1920
would                | 192        | 1110011010           | 1920
pursue               | 192        | 1110110100           | 1920
has                  | 192        | 1110110000           | 1920
past                 | 144        | 1010001000           | 1440
privilege            | 144        | 1010000011           | 1440
participating        | 144        | 1010011100           | 1440
University           | 144        | 1010101001           | 1440
s                    | 144        | 1011001111           | 1440
Research             | 144        | 1010100010           | 1440
Experience           | 144        | 1010000010           | 1440
Undergraduates       | 144        | 1010110010           | 1440
Under                | 144        | 1010011110           | 1440
mentorship           | 144        | 1011000001           | 1440
Wendy                | 144        | 1011011010           | 1440
Bozeman              | 144        | 1011100110           | 1440
Georgia              | 144        | 1100101110           | 1440
Lebedev              | 144        | 1011101000           | 1440
department           | 144        | 1100111001           | 1440
Biological           | 144        | 1010101101           | 1440
Sciences             | 144        | 1001111111           | 1440
goal                 | 144        | 1011011111           | 1440
cobalt               | 144        | 1011011000           | 1440
iron                 | 144        | 1010101010           | 1440
oxide                | 144        | 1001110100           | 1440
cored                | 144        | 1010101110           | 1440
3                    | 144        | 1011110000           | 1440
titanium             | 144        | 1011110111           | 1440
dioxide              | 144        | 1010011111           | 1440
scaffold             | 144        | 1100100010           | 1440
specifically         | 144        | 1011100111           | 1440
compound             | 144        | 1011001000           | 1440
flavonoid            | 144        | 1010101000           | 1440
its                  | 144        | 1011100000           | 1440
anti                 | 144        | 1100111011           | 1440
inflammatory         | 144        | 1011001110           | 1440
As                   | 144        | 1001110001           | 1440
very                 | 144        | 1010000000           | 1440
difficult            | 144        | 1011011110           | 1440
place                | 144        | 1100101001           | 1440
